dict_size: 17809
#############################
maximum sentence length: 55
minimum sentence length: 1
length	frequency
interesting	962
lot	960
down	933
old	931
seen	930
show	928
our	928
because	921
thriller	920
find	918
idea	917
tale	913
rather	912
kid	909
know	899
my	898
had	886
these	886
laugh	882
were	881
acting	876
often	876
point	874
also	872
original	863
same	859
keep	856
star	848
right	847
full	840
emotional	839
almost	835
itself	833
before	825
back	819
filmmaker	817
subject	817
quite	816
here	815
young	807
watching	795
need	793
watch	787
entertaining	786
documentary	783
music	778
day	778
want	777
've	775
material	775
dialogue	774
romantic	770
part	767
ca	765
hard	763
where	759
going	749
war	745
cinema	738
hour	733
place	731
play	725
flick	724
turn	719
piece	717
fan	715
seems	712
think	710
yet	701
'll	698
though	694
theater	691
bit	689
lack	687
after	686
me	681
say	677
viewer	676
history	669
him	664
set	663
entertainment	659
anything	658
worth	658
child	657
compelling	655
art	648
last	646
care	645
video	644
style	642
special	630
did	628
least	628
experience	620
effect	617
cinematic	616
genre	615
seem	610
level	610
ultimately	606
around	601
pretty	601
making	597
?	581
true	580
charm	580
away	579
girl	578
comic	577
effort	575
dark	574
put	573
offer	571
anyone	569
direction	569
power	567
feature	565
visual	561
face	559
sometimes	558
then	556
horror	556
matter	555
again	553
eye	553
joke	553
book	552
silly	549
once	549
sweet	546
together	543
nearly	543
title	542
culture	540
narrative	538
moving	534
why	533
high	532
fascinating	532
dull	531
classic	530
whose	529
role	528
line	527
three	527
mind	525
clever	525
series	517
past	517
she	515
actually	514
guy	513
whole	511
shot	511
try	508
boy	501
feeling	499
since	499
game	499
familiar	498
trying	498
men	492
under	486
always	485
screenplay	484
interest	481
tv	480
next	480
message	479
romance	476
version	474
attempt	473
side	472
done	472
talent	466
predictable	464
short	464
study	463
home	462
relationship	459
reality	459
simply	458
intelligent	457
spirit	457
enjoyable	450
premise	450
head	450
become	449
amusing	445
half	444
instead	443
light	443
tone	442
wit	441
each	441
easy	439
looking	439
modern	439
mr.	438
everything	436
project	432
everyone	431
smart	431
especially	430
tell	428
strong	427
despite	427
energy	427
stuff	426
reason	423
black	423
worst	423
quirky	420
problem	420
himself	420
john	419
obvious	419
adventure	418
death	417
enjoy	417
start	416
adult	415
pleasure	415
engaging	414
insight	413
summer	412
lead	411
charming	410
suspense	410
act	409
sequence	408
production	407
dramatic	405
sort	405
gag	404
debut	403
'd	402
run	402
situation	401
crime	401
fresh	399
surprise	399
french	397
recent	395
portrait	394
now	393
tragedy	393
filmmaking	392
de	392
likely	392
ending	391
small	390
passion	390
solid	389
cliche	387
melodrama	387
leave	386
beautiful	386
else	386
mystery	386
either	385
truly	384
powerful	384
different	384
image	381
emotion	380
second	378
fine	377
hero	376
age	376
probably	376
manages	375
hit	374
question	372
event	371
serious	371
along	368
political	366
slow	365
camera	365
sequel	363
surprisingly	362
wo	362
dumb	360
live	358
novel	357
sound	357
becomes	356
rare	356
boring	354
beyond	353
issue	353
believe	353
element	352
mean	348
social	348
artist	347
exercise	347
word	344
completely	343
writing	343
intelligence	343
intriguing	341
personal	341
left	341
opera	341
impossible	340
fact	339
fantasy	339
deeply	339
twist	338
directed	338
dream	337
quality	337
stand	337
thought	336
help	335
theme	333
ride	333
sad	331
sure	331
memory	330
hold	329
formula	329
moral	329
complex	328
satisfying	326
hand	325
written	322
perfect	321
michael	321
disney	321
teen	320
let	319
honest	319
possible	317
change	317
themselves	317
close	316
career	316
form	316
simple	316
fall	313
single	313
wrong	312
!	312
easily	312
mostly	311
having	309
violence	308
difficult	308
truth	306
touching	305
particularly	305
mess	305
already	305
whether	305
sex	304
depth	303
monster	303
storytelling	303
dog	302
otherwise	302
seeing	301
school	301
rich	300
nature	299
future	299
above	297
imagination	297
animation	297
approach	296
epic	295
hilarious	294
creepy	294
final	294
gentle	291
against	290
attention	290
visually	289
mark	289
'm	288
concept	288
taste	288
deal	287
parent	287
memorable	286
running	286
flat	286
touch	285
actress	285
mood	285
beauty	284
psychological	283
beautifully	283
getting	283
standard	282
exactly	282
credit	282
cool	282
occasionally	282
vision	281
night	281
terrific	281
got	281
song	281
spy	280
call	280
rock	280
several	280
cartoon	280
usual	277
given	277
writer	276
inside	275
adaptation	275
during	275
force	275
period	275
found	274
certainly	274
cold	274
strange	274
hope	273
emotionally	273
soul	273
cut	272
nor	270
journey	270
pretentious	269
historical	269
brother	269
four	268
middle	267
case	267
decent	267
neither	266
important	266
view	265
gone	263
house	263
add	263
fear	263
value	262
fairly	261
doing	261
begin	261
robert	261
tension	261
soap	260
appeal	260
sci-fi	260
none	259
lost	258
entire	257
bring	257
sit	257
genuine	256
fails	256
america	255
pace	255
class	255
expect	255
earnest	253
dead	253
worthy	252
episode	251
working	251
air	251
contrived	251
contemporary	250
figure	250
behind	249
city	248
others	248
previous	247
brilliant	247
score	246
remake	245
must	245
job	245
delivers	244
entirely	244
pay	244
tragic	243
remains	243
present	243
gorgeous	242
capture	242
cheap	241
barely	241
told	241
wonderful	241
deep	241
sexual	241
cultural	241
nice	241
creative	240
manner	240
pull	239
drag	238
wonder	238
term	238
screenwriter	238
bond	237
satire	237
break	237
impact	236
surprising	236
taking	236
pop	236
welcome	235
promise	235
major	233
couple	233
low	233
conflict	233
worse	233
sentimental	233
perfectly	232
skin	232
water	232
number	231
fire	231
scary	231
target	231
latest	231
us	230
appealing	230
talented	230
excellent	230
remarkable	230
somewhat	229
detail	229
david	228
car	228
among	228
plenty	228
bland	228
tired	227
fully	227
warm	227
seat	227
rhythm	226
brain	226
ugly	226
supposed	226
ambitious	225
ago	225
friend	225
thoughtful	225
edge	225
success	224
decade	223
sustain	223
potential	223
today	223
york	223
television	222
business	222
amount	222
college	222
generation	222
clear	221
coming-of-age	221
living	220
thinking	219
giving	219
prof	219
certain	218
magic	218
road	218
share	218
thrill	218
miss	217
white	217
open	216
thin	216
move	216
british	216
friendship	216
process	215
utterly	215
finally	215
century	215
animated	214
win	214
someone	214
straight	213
waste	213
skill	213
loss	213
stupid	213
flaw	213
wild	213
fit	212
cute	212
playing	212
substance	211
used	211
treat	211
coming	211
date	210
space	209
able	209
name	209
leaf	209
drug	208
voice	208
convincing	208
read	208
inventive	208
use	208
chase	207
chance	207
ii	207
tear	206
predecessor	206
female	206
urban	206
company	205
sentimentality	205
routine	205
bizarre	205
country	204
unsettling	204
frame	204
sport	204
group	204
sharp	204
throughout	204
create	204
setting	204
oscar	203
slightly	202
impressive	202
ability	202
master	201
crowd	201
stunt	201
battle	201
stay	201
across	201
queen	201
result	200
awful	200
room	200
wedding	200
alone	199
grace	199
unexpected	199
thoroughly	199
imagine	198
fight	198
merely	198
ensemble	198
george	198
quiet	198
effective	197
odd	197
pure	197
until	196
engrossing	196
subtle	196
formulaic	196
lovely	196
winning	196
protagonist	195
mix	195
politics	195
perhaps	195
chemistry	194
soundtrack	194
yourself	194
felt	194
old-fashioned	193
exciting	193
loud	193
gay	193
understand	193
ultimate	193
wanted	193
acted	192
heavy	192
party	192
opportunity	192
crazy	192
mildly	191
mother	191
person	190
highly	190
personality	190
mediocre	190
hell	190
overall	190
giant	190
although	190
provocative	190
week	190
sign	189
sea	189
lesson	189
considerable	188
flawed	188
extreme	188
era	188
delight	188
maybe	188
folk	188
member	188
90	187
triumph	187
purpose	187
stylish	186
typical	186
balance	186
money	186
taken	186
franchise	186
adam	185
slapstick	185
murder	185
unique	184
rest	184
plain	184
casting	184
called	184
society	183
colorful	183
unfunny	183
saw	182
involved	182
painful	182
equally	182
dry	182
sincere	182
perspective	182
motion	182
interested	181
costume	181
wife	181
witty	180
killer	180
believable	180
development	179
body	179
writer-director	179
warmth	178
evil	178
central	178
sensitive	178
tedious	178
studio	178
humanity	178
examination	178
successful	177
intimate	177
trick	177
execution	177
poor	177
five	177
source	177
spiritual	176
commercial	176
intrigue	176
niro	176
blue	176
masterpiece	176
release	175
stage	175
forced	175
strength	175
terrible	175
talk	175
public	175
steven	175
brings	174
sophisticated	174
goofy	174
artistic	173
recommend	173
favor	173
happy	172
gun	172
shake	172
treasure	172
grief	172
choice	171
pacing	171
2002	171
delightful	171
upon	171
trouble	171
spielberg	171
generic	171
aspect	171
son	170
seriously	170
father	170
weird	170
hole	169
course	169
drive	169
smile	169
indie	169
green	169
type	169
struggle	169
red	169
natural	168
2	168
deserves	168
happen	168
faith	168
poetry	168
general	168
beat	168
ms.	168
trip	168
behavior	168
gripping	168
williams	167
viewing	167
victim	167
cause	167
match	167
badly	167
core	167
focus	167
performer	167
james	167
bright	166
remember	166
root	166
murphy	166
camp	165
depressing	165
street	165
except	165
complete	164
footage	164
blend	164
storyline	164
slight	164
apart	164
longer	164
melodramatic	164
challenging	164
intended	163
thanks	163
metaphor	163
bear	163
meditation	163
list	163
meaning	163
sandler	163
mindless	162
large	162
particular	162
huge	162
avoid	161
top	161
fashion	161
stunning	161
roll	160
tough	160
popcorn	160
imax	160
grant	160
definitely	160
extremely	160
secret	160
pleasant	160
return	160
conclusion	160
sight	159
energetic	159
conventional	159
obviously	159
universal	159
answer	159
hackneyed	159
free	159
reach	159
originality	158
missing	158
alive	158
observation	158
happens	158
hate	158
delicate	158
based	157
stop	157
lacking	157
10	157
affection	157
weak	157
king	157
played	156
funnier	156
race	156
conviction	156
price	156
justice	156
guilty	156
shallow	156
average	155
ghost	155
band	155
ground	155
spectacle	155
moviegoer	155
hill	155
excitement	154
offering	154
vehicle	154
wait	154
carry	154
shock	154
greatest	154
chinese	154
waiting	154
wind	153
desire	153
attraction	153
inspired	153
characterization	153
foreign	153
disturbing	153
quickly	153
glimpse	153
joy	153
allen	152
chan	152
festival	152
poetic	152
lie	152
rise	152
god	152
forget	151
accessible	151
tom	151
intense	151
rarely	150
reveals	150
martin	150
ambition	150
product	150
forgettable	149
watchable	149
haunting	149
fare	149
unusual	149
shoot	149
resonance	149
intention	149
complicated	148
gross-out	148
deeper	148
reading	148
exploration	148
report	148
doubt	147
peter	147
japanese	147
landscape	147
daring	147
fiction	147
pretension	147
animal	146
derivative	146
somewhere	146
dangerous	146
save	146
color	146
refreshing	146
strike	145
damned	145
thousand	145
produced	145
indeed	145
heaven	145
glory	145
wish	145
minor	145
uneven	144
painfully	144
count	144
cinematography	144
affair	144
jackson	144
courage	144
persona	144
record	144
monty	143
telling	143
vampire	143
said	143
burn	143
released	143
sitcom	143
simplistic	142
atmosphere	142
step	142
lame	142
hair	142
editing	142
realistic	142
profound	142
spot	141
turned	141
lady	141
identity	141
creates	141
striking	141
treatment	141
endearing	141
channel	141
allows	141
demand	141
sentiment	141
maker	140
excess	140
genuinely	140
main	140
imaginative	140
outrageous	140
stale	140
fast	140
gang	140
condition	139
accent	139
community	139
machine	138
farce	138
draw	138
winner	138
revenge	138
promising	138
talking	138
center	138
crush	138
spark	137
charisma	137
musical	137
state	137
south	137
complexity	137
vivid	137
ring	136
determined	136
cover	136
indian	136
created	136
involving	136
dance	136
tradition	136
well-acted	136
poignant	136
third	136
twisted	136
remarkably	136
sexy	136
ridiculous	135
riveting	135
wildly	135
male	135
imagery	135
refreshingly	135
manipulative	135
unpleasant	135
largely	135
loses	135
delivery	134
strangely	134
usually	134
prove	134
pain	134
contrivance	134
common	134
twice	134
villain	134
filmed	134
industry	133
starring	133
string	133
respect	133
clearly	132
document	132
beginning	132
yarn	132
however	132
wear	132
gift	132
medium	132
alien	132
walk	132
gangster	131
notion	131
failure	131
throw	131
toward	131
grand	131
surface	131
necessary	131
filled	131
sitting	131
comedic	131
extraordinary	131
early	131
raw	131
example	130
wry	130
connection	130
'70s	130
revelation	130
front	130
mile	130
theatre	130
heartfelt	130
national	130
path	130
provides	130
sick	130
budget	129
cop	129
fill	129
funniest	129
follow	129
worthwhile	129
holiday	129
worked	128
possibly	128
virtually	128
liked	128
empty	128
further	128
deliver	128
italian	128
realism	128
hardly	128
superior	128
team	127
within	127
offensive	127
chris	127
tribute	127
superficial	127
impression	127
soderbergh	127
slice	127
finding	127
suffers	127
service	126
length	126
directing	126
sappy	126
growing	126
frank	126
expected	126
nicely	125
shadow	125
scenario	125
eccentric	125
pointless	125
overcome	125
20	125
flair	125
repetitive	125
mainstream	125
absolutely	124
compassion	124
zone	124
brown	124
spectacular	124
intellectual	124
generally	124
jones	124
hot	124
adolescent	124
saturday	124
escape	124
obsession	124
hoffman	124
hip	124
modest	123
blade	123
note	123
revealing	123
visuals	123
essentially	123
seagal	123
older	123
creation	123
served	123
overly	123
irritating	123
poorly	123
ticket	123
friday	123
heavy-handed	122
playful	122
sheer	122
structure	122
x	122
quietly	122
cynical	122
please	122
spoof	122
paced	121
damn	121
computer	121
lazy	121
search	121
mesmerizing	121
inspiring	121
wise	121
shooting	121
insightful	121
faithful	121
oddly	121
needed	120
affecting	120
exhilarating	120
false	120
whatever	120
wave	120
digital	120
kevin	120
individual	120
stock	120
loved	120
absorbing	120
empathy	120
phone	120
onto	120
took	120
player	119
producer	119
bullock	119
equivalent	119
precious	119
mild	119
awkward	119
expectation	119
clarity	118
sensibility	118
inevitable	118
lived	118
nonsense	118
broad	118
chilling	118
yes	118
movement	118
dancing	118
literary	118
private	118
ice	118
devoid	118
goal	118
glass	117
admirable	117
ryan	117
somehow	117
tender	117
fatal	117
christmas	117
format	116
retread	116
revolution	116
husband	116
thought-provoking	116
forgotten	116
die	116
grow	116
presence	116
accomplished	115
iranian	115
flash	115
appears	115
graphic	115
inner	115
park	115
maudlin	115
check	115
teacher	114
marriage	114
concerned	114
crafted	114
finish	114
wacky	114
territory	114
nightmare	114
amazing	114
potentially	114
late	114
frustrating	114
snow	114
teenager	114
nuance	114
serf	114
push	113
virtue	113
b-movie	113
bunch	113
diverting	113
onscreen	113
low-budget	113
corner	113
build	113
unlikely	113
relatively	113
annoying	113
science	113
clumsy	113
sum	113
wall	113
kong	112
consider	112
dynamic	112
nasty	112
blood	112
philosophical	112
constructed	112
sloppy	112
fat	112
fair	111
punch	111
willing	111
disbelief	111
order	111
reasonably	111
excuse	111
foot	111
desperate	111
downright	111
seek	111
designed	111
cheesy	111
pas	111
totally	111
visceral	111
sympathy	111
whom	111
device	110
window	110
chuckle	110
soon	110
background	110
speaking	110
significant	110
news	110
brutal	110
violent	110
double	110
various	110
student	110
moviemaking	109
bother	109
self-conscious	109
fate	109
'60s	109
tiresome	109
sink	109
homage	109
degree	109
happiness	109
apparent	108
quest	108
provide	108
meandering	108
parker	108
combination	108
teenage	108
dragon	108
after-school	108
creativity	108
actual	108
rank	108
stereotype	108
bored	107
roger	107
frightening	107
suit	107
depiction	107
noir	107
vs.	107
moore	107
appear	107
kissinger	107
increasingly	107
basic	107
gem	107
angst	107
connect	107
jason	107
dreary	107
intensity	107
buy	107
design	107
b	107
brought	106
current	106
merit	106
technology	106
detailed	106
benigni	106
irish	106
professional	106
blair	106
fly	106
including	106
hopeful	106
directorial	106
deftly	106
award	106
strain	106
mayhem	106
thrilling	106
weight	106
creating	106
beneath	105
mistake	105
evocative	105
frequently	105
shame	105
language	105
mixed	105
self-indulgent	105
well-made	105
disappointing	105
abuse	105
incredibly	105
trek	104
scorsese	104
dare	104
location	104
hong	104
office	104
safe	104
test	104
damage	104
succeeds	104
destination	104
raise	104
surreal	104
distinctive	104
witch	104
analyze	104
subtlety	103
dazzling	103
ordinary	103
con	103
wonderfully	103
madness	103
kick	103
likable	103
reno	103
store	103
traditional	103
anne	103
trifle	103
cult	102
bitter	102
following	102
suck	102
shocking	102
lane	102
southern	102
angel	102
showing	102
control	102
buddy	102
bag	102
difference	102
spend	102
lover	102
encounter	102
flow	102
kaufman	102
happened	102
program	102
utter	102
silliness	101
plotting	101
stomach	101
mere	101
belongs	101
heard	101
famous	101
seven	101
real-life	101
critical	101
wilde	101
hip-hop	101
screenwriting	101
pokemon	101
critic	101
bittersweet	101
gritty	100
disguise	100
slasher	100
lively	100
sister	100
spooky	100
bore	100
confusing	100
market	100
produce	100
stand-up	100
held	100
fantastic	100
patience	100
dealing	100
laughter	100
season	100
polished	100
logic	99
chill	99
bite	99
benefit	99
bone	99
artificial	99
theatrical	99
ludicrous	99
rap	99
proceeding	99
stuck	99
feel-good	99
crisis	99
unfortunately	99
consequence	99
achievement	99
knowing	98
land	98
chilly	98
building	98
display	98
went	98
distance	98
laughing	98
planet	98
rental	98
discovery	98
changing	98
deserve	98
buff	98
unlike	98
portrayal	98
english	98
understanding	97
technical	97
literally	97
escapism	97
appreciate	97
loose	97
delivered	97
poignancy	97
capable	97
dysfunctional	97
mention	97
cautionary	97
finale	97
harmless	97
cliched	97
represents	96
spent	96
morality	96
million	96
spare	96
'em	96
frida	96
horrifying	96
preposterous	96
commentary	96
ingredient	96
knowledge	96
photography	96
vibrant	96
outside	96
bigger	96
fancy	96
context	96
embarrassment	96
grandeur	96
disaster	95
endeavor	95
authentic	95
lee	95
cloying	95
curiosity	95
solondz	95
jealousy	95
broken	95
humorous	95
devastating	95
catch	95
quick	95
overwrought	95
imitation	95
vincent	95
lyrical	95
serial	95
crude	95
preachy	94
over-the-top	94
rush	94
pathos	94
trite	94
stick	94
embrace	94
chaotic	94
ask	94
near	94
pat	94
dvd	94
paint	94
absurd	94
heartwarming	94
humour	94
urge	94
reaction	94
faster	94
forgive	94
opening	94
cross	94
uplifting	93
saying	93
dirty	93
factor	93
suffering	93
tortured	93
aware	93
topic	93
charismatic	93
using	93
committed	93
poem	93
turning	93
entertain	93
grasp	93
biting	93
harry	92
attitude	92
total	92
explosion	92
soldier	92
key	92
pack	92
anywhere	92
spell	92
equal	92
copy	92
pathetic	92
credible	92
leaving	92
matinee	92
stirring	92
travel	91
menace	91
saving	91
sand	91
creature	91
consistently	91
realized	91
abstract	91
innocence	91
sadness	91
inept	91
endless	91
police	91
bold	91
staged	91
paid	91
existence	91
fish	91
holocaust	91
entry	91
remembered	91
praise	91
startling	91
choose	91
learn	90
guessing	90
enjoyed	90
becoming	90
amateurish	90
measure	90
low-key	90
happening	90
fisher	90
xxx	90
arnold	90
tap	90
martha	90
closer	90
trademark	90
resonant	89
bottom	89
positive	89
barrel	89
timely	89
crisp	89
vein	89
palma	89
border	89
cruel	89
fable	89
sugar	89
grows	89
nerve	89
earth	89
jack	89
younger	89
terrifying	89
blow	89
achieves	89
rice	88
pity	88
door	88
admire	88
paul	88
greek	88
wasted	88
aim	88
heroine	88
horrible	88
content	88
unnecessary	88
pair	88
schwarzenegger	88
britney	88
pinocchio	88
myself	88
justify	88
odds	88
christian	88
nostalgia	88
screaming	87
bringing	87
scenery	87
challenge	87
davis	87
drop	87
absurdity	87
woo	87
shine	87
washington	87
sketch	87
straightforward	87
domestic	87
pic	87
gifted	87
childhood	87
rent	87
wrote	87
due	87
larger	87
rip-off	87
cleverness	86
scare	86
deadly	86
refugee	86
irony	86
concern	86
ahead	86
subversive	86
bow	86
honesty	86
eventually	86
extended	86
thick	86
collection	86
featuring	86
spirited	86
possibility	85
handle	85
sade	85
ritchie	85
blind	85
wow	85
astonishing	85
shoulder	85
ship	85
intricate	85
account	85
soggy	85
inspire	85
mixture	85
grab	85
missed	85
triangle	85
gradually	85
broomfield	85
leaden	85
middle-aged	84
despair	84
nowhere	84
godard	84
subtly	84
drawn	84
cost	84
mysterious	84
required	84
rewarding	84
tiny	84
earlier	84
implausible	84
conceit	84
rendered	84
whimsy	84
suspenseful	84
afraid	84
tasty	84
brutally	84
relentless	84
supporting	84
conversation	84
woody	83
quirk	83
antic	83
influence	83
urgency	83
engage	83
realize	83
banal	83
reign	83
spear	83
burst	83
area	83
first-time	83
silence	83
started	83
slowly	83
instinct	83
somber	83
cheese	83
field	83
table	83
motivation	83
satirical	83
showcase	83
80	83
superb	83
joe	83
expression	82
hugh	82
load	82
ear	82
constant	82
handful	82
enterprise	82
spite	82
richer	82
howard	82
shelf	82
slick	82
touched	81
wondering	81
offbeat	81
refuse	81
athlete	81
crap	81
shyamalan	81
manhattan	81
undeniably	81
niche	81
smug	81
exotic	81
comfort	81
revelatory	81
tarantino	81
favorite	81
finest	81
vulgar	81
unless	81
kill	81
hotel	81
9	81
dramatically	81
elegant	80
elaborate	80
endure	80
argument	80
boat	80
handsome	80
amused	80
beach	80
sentence	80
plotted	80
notice	80
perverse	80
comparison	80
marginal	80
sensual	80
department	80
emerges	80
hook	80
ya-ya	80
gross	80
express	80
enter	80
hear	80
lawrence	80
inspirational	80
explore	80
crass	80
van	80
assured	79
loving	79
knew	79
hopkins	79
terrorist	79
frustration	79
relentlessly	79
lousy	79
wannabe	79
seemingly	79
food	79
mad	79
unimaginative	79
writerdirector	79
exquisite	79
comfortable	79
yearning	79
random	79
verve	79
trash	79
ten	79
parable	79
complication	79
payoff	78
necessarily	78
scream	78
madonna	78
prison	78
fake	78
unintentional	78
jim	78
pick	78
flimsy	78
unnerving	78
witness	78
reference	78
posse	78
variety	78
first-rate	78
kung	78
reel	78
kiddie	78
competent	78
candy	78
inspiration	78
peculiar	78
box	78
parody	78
overlong	78
soft	78
fourth	78
theory	78
leading	78
fighting	78
listen	77
came	77
pretend	77
engaged	77
inoffensive	77
deft	77
sweetness	77
system	77
blockbuster	77
essence	77
somebody	77
desperately	77
similar	77
manage	77
unfaithful	77
meet	77
asks	77
technique	77
barry	77
diversion	77
lifetime	77
carefully	77
masterful	77
task	77
coherent	77
risk	77
flashy	77
pow	77
known	77
inherent	77
outstanding	77
warning	77
herzog	77
nation	76
divine	76
jewish	76
showtime	76
allow	76
well-meaning	76
casual	76
substantial	76
chronicle	76
wilson	76
popular	76
visit	76
herself	76
integrity	76
sour	76
harrowing	76
eight	76
carvey	76
limited	76
lesser	76
uninspired	76
halfway	76
polanski	76
feature-length	76
captivating	76
miller	75
spin	75
european	75
kahlo	75
cable	75
sane	75
keeping	75
psychology	75
sell	75
potent	75
amy	75
interview	75
consciousness	75
trial	75
cgi	75
halloween	75
addition	75
killed	75
obnoxious	75
joan	75
frontal	75
unsentimental	75
tie	75
stylized	75
lifeless	75
reunion	75
suggests	75
mainly	75
austin	75
china	74
wickedly	74
plight	74
constantly	74
aside	74
richard	74
mature	74
scratch	74
presented	74
slap	74
noble	74
religious	74
terribly	74
uncompromising	74
providing	74
100	74
daytime	74
sketchy	74
bleak	74
timing	74
plodding	74
problematic	74
thematic	74
generate	74
artifice	74
buoyant	74
inane	74
mouth	73
nuanced	73
transcends	73
bloody	73
darker	73
santa	73
unflinching	73
credibility	73
jerry	73
physical	73
blast	73
sacrifice	73
sarandon	73
russian	73
stiff	73
danger	73
darkly	73
fuzzy	73
clothes	73
meaningful	73
15	73
jackie	73
scale	73
effectively	73
hybrid	73
noise	73
brand	73
resist	73
heartbreaking	73
regard	73
incoherent	73
vital	73
academy	73
lift	72
innocent	72
juvenile	72
stretch	72
harris	72
pale	72
ingenious	72
ponder	72
brief	72
impulse	72
importance	72
admit	72
smack	72
unfolds	72
belly	72
ford	72
exploitation	72
remain	72
construct	72
focused	72
eccentricity	72
slacker	72
glib	72
sleep	72
blank	72
honestly	72
looked	72
mike	72
whale	72
junk	72
dozen	71
smarter	71
paper	71
bruckheimer	71
shower	71
appropriate	71
surely	71
recognize	71
schneider	71
delicious	71
haunted	71
deception	71
derrida	71
buck	71
card	71
exploit	71
conservative	71
pun	71
drawing	71
parade	71
nicholas	71
fart	71
counterpart	71
dos	71
neat	71
skip	71
claustrophobic	71
dawson	71
entertained	71
filling	71
birthday	71
presentation	71
inhabit	71
meaningless	71
predictably	70
castro	70
good-natured	70
west	70
life-affirming	70
fame	70
brit	70
belt	70
delivering	70
understated	70
bruce	70
dying	70
saccharine	70
jump	70
freak	70
goodfellas	70
afternoon	70
sympathetic	70
comedian	70
enthusiasm	70
disappointed	70
surrounding	70
expense	70
intimacy	70
midnight	70
wood	70
idiot	70
cleverly	70
unintentionally	69
intoxicating	69
portrays	69
understands	69
author	69
wet	69
simultaneously	69
ill	69
mentally	69
momentum	69
fairy	69
trailer	69
breathtaking	69
gender	69
undeniable	69
crucial	69
don	69
sake	69
gory	69
built	69
pie	69
saga	69
simplicity	69
endlessly	69
category	69
beast	69
fabric	68
prime	68
diary	68
existential	68
snappy	68
korean	68
packed	68
droll	68
hannibal	68
sly	68
struggling	68
abandon	68
moviegoing	68
criminal	68
frailty	68
delightfully	68
unfocused	68
wide	68
relies	68
hallmark	68
barbershop	68
belief	67
spring	67
stuart	67
code	67
send	67
fanciful	67
club	67
dahmer	67
album	67
objective	67
breezy	67
miracle	67
todd	67
weirdly	67
dawn	67
bar	67
conspiracy	67
rating	67
elizabeth	67
morning	67
considering	67
harsh	67
tour	67
pile	67
whimsical	67
witherspoon	67
convoluted	67
bill	67
improbable	67
apparently	67
pedigree	67
demographic	67
hide	67
dish	67
rehash	66
exploitative	66
watched	66
curious	66
hawn	66
static	66
forth	66
respectable	66
silent	66
concert	66
sisterhood	66
assassin	66
suited	66
clean	66
stevenson	66
asian	66
weakness	66
warrior	66
wanting	66
dignity	66
shakespeare	66
confused	66
shapeless	66
dong	66
sadly	66
settle	66
convention	66
considered	66
longing	66
stephen	66
object	65
sensitivity	65
wrap	65
marvelous	65
bubble	65
testament	65
robin	65
ode	65
kiss	65
meant	65
cutting	65
alternately	65
steal	65
speak	65
extravaganza	65
pool	65
cell	65
rigor	65
anyway	65
subtitle	65
fierce	65
accurate	65
eat	65
trapping	65
basis	65
liberal	65
super	65
letting	65
choppy	65
cho	65
ambiguity	65
convey	65
variation	65
emptiness	65
interpretation	65
rob	65
reward	65
developed	65
recording	65
